"aheadWorks Extensions Log","aheadWorks Extensions Log"
"Are you sure to clear all log entries?","Are you sure to clear all log entries?"
"Clear Log","Clear Log"
"Date","Date"
"Details","Details"
"ID","ID"
"Info","Info"
"Module","Module"
"Title","Title"
"Type","Type"
