Total %1$s, processed %2$s records (%3$s%%)...,全%1$s中、%2$sレコードを処理済（%3$s%%）...
Total %1$s, processed %2$s records (%3$s%%)...,全%1$s中、%2$sレコードを処理済（%3$s%%）...
Type,タイプ
Url,URL
Use Config,設定を使用
Use Longest,最長を使用
Use product short description for Description Meta Tag instead of full description,フルディスクリプションの代わりに簡易メタディスクリプションをディスクリプションメタタグとして使用する
Use Root,ルートを使用
Use Shortest,最短を使用
View Duplicates,複製を確認
Wishlist Pages,欲しい物リストページ
You need to generate the report due to recent changes.,最新の変更にはレポートを生成してください。
You’ve entered <span>0</span> character(s).,<span>0</span>文字を入力しました。
